Volume;Sphericity;Surface Area;Target;Target_Names
0.01;0.24;0.61;0;Top
0.01;0.28;0.64;0;Top
0.01;0.25;0.64;0;Top
0.01;0.31;0.47;0;Top
0.01;0.53;0.39;0;Top
0.03;0.23;1.8;0;Top
0.01;0.26;0.73;0;Top
0.01;0.29;0.49;0;Top
0.01;0.23;0.84;0;Top
0.01;0.24;1.16;0;Top
0.01;0.23;1.01;0;Top
0.02;0.23;1.28;0;Top
0.01;0.3;0.52;0;Top
0.01;0.28;0.51;0;Top
0.01;0.27;0.61;0;Top
0.01;0.27;0.67;0;Top
0.01;0.26;0.54;0;Top
0.01;0.23;0.92;0;Top
0.01;0.24;0.59;0;Top
0.02;0.24;1.29;0;Top
0.01;0.31;0.86;0;Top
0.01;0.27;0.62;0;Top
0.01;0.28;0.51;0;Top
0.01;0.24;0.75;0;Top
0.01;0.28;0.55;0;Top
0.01;0.22;0.73;0;Top
0.01;0.22;0.71;0;Top
0.01;0.22;1.34;0;Top
0.01;0.23;1.24;0;Top
0.01;0.26;0.82;0;Top
0.01;0.27;0.59;0;Top
0.01;0.24;0.74;0;Top
0.01;0.24;0.65;0;Top
0.01;0.26;0.63;0;Top
0.01;0.23;0.63;0;Top
0.03;0.24;2.14;0;Top
0.01;0.25;0.58;0;Top
0.01;0.24;0.63;0;Top
0.01;0.29;0.55;0;Top
0.02;0.24;1.71;0;Top
0.01;0.25;0.61;0;Top
0.02;0.24;1.39;0;Top
0.01;0.28;0.58;0;Top
0.01;0.26;0.59;0;Top
0.01;0.27;0.54;0;Top
0.01;0.27;0.53;0;Top
0.01;0.25;0.58;0;Top
0.01;0.24;0.66;0;Top
0.01;0.23;0.86;0;Top
0.01;0.26;0.57;0;Top
0.01;0.25;0.62;0;Top
0.03;0.23;2.05;0;Top
0.01;0.23;0.62;0;Top
0.01;0.26;0.75;0;Top
0.01;0.26;0.54;0;Top
0.01;0.29;0.57;0;Top
0.2;0.2;8.32;0;Top
0.01;0.24;0.66;0;Top
0.01;0.21;1.05;0;Top
0.01;0.23;1.03;0;Top
0.02;0.23;1.33;0;Top
0.02;0.23;1.28;0;Top
0.01;0.24;0.67;0;Top
0.01;0.21;1.29;0;Top
0.01;0.22;0.77;0;Top
0.01;0.21;0.74;0;Top
0.01;0.31;0.72;0;Top
0.01;0.29;0.49;0;Top
0.01;0.33;0.46;0;Top
0.02;0.37;0.8;0;Top
0.02;0.23;1.37;0;Top
0.01;0.25;0.8;0;Top
0.02;0.21;1.91;0;Top
0.01;0.24;0.77;0;Top
0.02;0.23;1.39;0;Top
0.01;0.27;0.52;0;Top
0.01;0.25;0.57;0;Top
0.01;0.28;0.54;0;Top
0.01;0.28;0.57;0;Top
0.01;0.27;0.53;0;Top
0.01;0.25;0.74;0;Top
0.01;0.25;0.94;0;Top
0.01;0.31;0.5;0;Top
0.01;0.25;0.7;0;Top
0.01;0.23;0.79;0;Top
0.01;0.25;0.6;0;Top
0.01;0.29;0.52;0;Top
0.01;0.26;0.58;0;Top
0.01;0.26;0.55;0;Top
0.01;0.29;0.6;0;Top
0.01;0.25;0.82;0;Top
0.01;0.22;1.17;0;Top
0.01;0.23;0.76;0;Top
0.01;0.26;0.99;0;Top
0.01;0.24;0.78;0;Top
0.01;0.28;0.56;0;Top
0.01;0.27;0.58;0;Top
0.01;0.29;0.51;0;Top
0.02;0.23;1.45;0;Top
0.01;0.29;0.51;0;Top
0.01;0.35;0.56;0;Top
0.01;0.24;0.6;0;Top
0.01;0.27;0.58;0;Top
0.01;0.24;0.63;0;Top
0.01;0.24;0.71;0;Top
0.01;0.28;0.52;0;Top
0.01;0.25;0.74;0;Top
0.02;0.24;1.26;0;Top
0.01;0.23;0.89;0;Top
0.01;0.26;0.55;0;Top
0.01;0.25;0.72;0;Top
0.01;0.28;0.59;0;Top
0.01;0.25;0.66;0;Top
0.01;0.28;0.63;0;Top
0.01;0.25;0.56;0;Top
0.01;0.26;0.79;0;Top
0.01;0.26;0.56;0;Top
0.02;0.24;1.53;0;Top
0.02;0.22;1.69;0;Top
0.01;0.23;0.72;0;Top
0.01;0.25;0.67;0;Top
0.01;0.26;0.85;0;Top
0.01;0.28;0.51;0;Top
0.01;0.23;0.68;0;Top
0.01;0.21;0.77;0;Top
0.01;0.27;0.61;0;Top
0.01;0.22;0.73;0;Top
0.01;0.22;0.89;0;Top
0.01;0.26;0.88;0;Top
0.01;0.22;0.7;0;Top
0.01;0.24;0.71;0;Top
0.01;0.26;0.61;0;Top
0.01;0.28;0.56;0;Top
0.01;0.29;0.6;0;Top
0.01;0.32;0.52;0;Top
0.01;0.24;0.64;0;Top
0.03;0.24;1.86;0;Top
0.02;0.26;1.35;0;Top
0.01;0.23;0.62;0;Top
0.01;0.24;0.68;0;Top
0.01;0.26;0.58;0;Top
0.01;0.27;0.57;0;Top
0.01;0.27;0.57;0;Top
0.01;0.31;0.47;0;Top
0.01;0.24;0.61;0;Top
0.01;0.22;0.75;0;Top
0.01;0.25;0.58;0;Top
0.01;0.25;0.68;0;Top
0.01;0.26;0.59;0;Top
0.01;0.25;1.02;0;Top
0.01;0.31;0.47;0;Top
0.01;0.27;0.56;0;Top
0.01;0.31;0.46;0;Top
0.01;0.3;0.49;0;Top
0.01;0.25;0.91;0;Top
0.01;0.25;0.81;0;Top
0.01;0.27;0.66;0;Top
0.01;0.26;0.54;0;Top
0.01;0.26;0.79;0;Top
0.01;0.24;0.72;0;Top
0.01;0.27;0.63;0;Top
0.01;0.27;0.58;0;Top
0.01;0.28;0.77;0;Top
0.02;0.25;1.17;0;Top
0.03;0.24;1.72;0;Top
0.01;0.27;0.6;0;Top
0.01;0.23;0.76;0;Top
0.01;0.24;0.65;0;Top
0.01;0.29;0.5;0;Top
0.01;0.3;0.48;0;Top
0.01;0.26;1.04;0;Top
0.01;0.26;0.59;0;Top
0.01;0.28;0.57;0;Top
0.01;0.28;0.53;0;Top
0.01;0.25;0.75;0;Top
0.01;0.27;0.57;0;Top
0.01;0.24;0.59;0;Top
0.01;0.22;0.96;0;Top
0.04;0.24;2.37;0;Top
0.01;0.3;0.52;0;Top
0.01;0.28;0.53;0;Top
0.01;0.24;0.68;0;Top
0.01;0.22;1.13;0;Top
0.01;0.26;0.58;0;Top
0.01;0.27;0.58;0;Top
0.01;0.23;0.67;0;Top
0.01;0.25;0.56;0;Top
0.01;0.2;1.36;0;Top
0.01;0.29;0.54;0;Top
0.01;0.25;0.74;0;Top
0.01;0.22;0.7;0;Top
0.01;0.24;0.67;0;Top
0.01;0.26;0.54;0;Top
0.01;0.28;0.55;0;Top
0.01;0.23;0.63;0;Top
0.01;0.3;0.51;0;Top
0.01;0.26;0.63;0;Top
0.01;0.27;0.82;0;Top
0.01;0.26;0.56;0;Top
0.01;0.26;0.64;0;Top
0.01;0.3;0.48;0;Top
0.01;0.25;0.6;0;Top
0.01;0.29;0.49;0;Top
0.01;0.21;0.96;0;Top
0.01;0.4;0.48;0;Top
0.04;0.22;2.49;0;Top
0.01;0.32;0.47;0;Top
0.01;0.27;0.54;0;Top
0.01;0.29;0.51;0;Top
0.01;0.27;0.59;0;Top
0.01;0.24;1.15;0;Top
0.01;0.24;0.81;0;Top
0.01;0.24;0.71;0;Top
0.01;0.23;0.61;0;Top
0.01;0.24;0.73;0;Top
0.02;0.24;1.22;0;Top
0.01;0.29;0.81;0;Top
0.01;0.25;0.79;0;Top
0.01;0.23;1.12;0;Top
0.01;0.22;0.86;0;Top
0.01;0.25;0.69;0;Top
0.01;0.28;0.51;0;Top
0.01;0.26;0.67;0;Top
0.01;0.29;0.54;0;Top
0.01;0.22;1;0;Top
0.01;0.26;0.76;0;Top
0.01;0.27;0.54;0;Top
0.01;0.23;0.77;0;Top
0.01;0.24;0.59;0;Top
0.01;0.28;0.52;0;Top
0.01;0.29;0.53;0;Top
0.01;0.28;0.6;0;Top
0.01;0.25;0.63;0;Top
0.01;0.26;0.82;0;Top
0.03;0.24;1.86;0;Top
0.01;0.24;0.98;0;Top
0.01;0.28;0.81;0;Top
0.01;0.28;0.52;0;Top
0.01;0.24;0.91;0;Top
0.01;0.26;0.65;0;Top
0.01;0.25;0.62;0;Top
0.02;0.23;1.62;0;Top
0.01;0.25;0.66;0;Top
0.01;0.26;0.57;0;Top
0.01;0.24;0.99;0;Top
0.01;0.31;0.79;0;Top
0.01;0.27;0.56;0;Top
0.01;0.26;0.56;0;Top
0.01;0.28;0.52;0;Top
0.02;0.28;1.43;0;Top
0.01;0.23;1.16;0;Top
0.01;0.24;0.82;0;Top
0.01;0.31;0.49;0;Top
0.01;0.26;0.59;0;Top
0.01;0.25;0.64;0;Top
0.02;0.22;1.57;0;Top
0.01;0.28;0.53;0;Top
0.01;0.26;0.83;0;Top
0.01;0.28;0.65;0;Top
0.01;0.24;0.7;0;Top
0.01;0.3;0.48;0;Top
0.02;0.22;1.5;0;Top
0.01;0.25;0.86;0;Top
0.14;0.23;5.81;0;Top
0.01;0.23;1.05;0;Top
0.01;0.21;0.76;0;Top
0.09;0.22;4.45;0;Top
0.01;0.27;0.66;0;Top
0.02;0.24;1.53;0;Top
0.01;0.25;0.83;0;Top
0.01;0.23;0.68;0;Top
0.01;0.29;0.53;0;Top
0.01;0.23;0.73;0;Top
0.01;0.23;0.89;0;Top
0.01;0.24;0.72;0;Top
0.01;0.27;0.53;0;Top
0.01;0.24;0.63;0;Top
0.01;0.29;0.49;0;Top
0.01;0.26;0.6;0;Top
0.01;0.23;0.86;0;Top
0.01;0.27;0.69;0;Top
0.01;0.24;0.8;0;Top
0.01;0.26;0.68;0;Top
0.01;0.25;0.83;0;Top
0.01;0.26;0.57;0;Top
0.01;0.23;0.67;0;Top
0.01;0.25;0.57;0;Top
0.01;0.23;1.26;0;Top
0.04;0.22;2.4;0;Top
0.01;0.24;0.83;0;Top
0.01;0.23;1.1;0;Top
0.01;0.25;0.62;0;Top
0.01;0.24;0.62;0;Top
0.01;0.29;0.67;0;Top
0.01;0.26;0.9;0;Top
0.02;0.2;1.73;0;Top
0.01;0.3;0.47;0;Top
0.01;0.27;0.55;0;Top
0.01;0.24;0.82;0;Top
0.01;0.24;0.82;0;Top
0.01;0.29;0.56;0;Top
0.01;0.26;0.84;0;Top
0.01;0.33;0.48;0;Top
0.01;0.26;0.55;0;Top
0.01;0.27;0.56;0;Top
0.01;0.29;0.6;0;Top
0.01;0.24;0.63;0;Top
0.01;0.23;1.1;0;Top
0.01;0.26;0.67;0;Top
0.01;0.26;0.56;0;Top
0.01;0.24;0.88;0;Top
0.01;0.24;0.63;0;Top
0.01;0.27;0.51;0;Top
0.01;0.26;0.61;0;Top
0.01;0.23;0.92;0;Top
0.01;0.28;0.63;0;Top
0.01;0.28;0.51;0;Top
0.02;0.22;1.62;0;Top
0.01;0.26;0.6;0;Top
0.01;0.51;0.41;0;Top
0.01;0.23;0.84;0;Top
0.01;0.24;0.84;0;Top
0.01;0.25;0.85;0;Top
0.01;0.25;0.57;0;Top
0.01;0.28;0.51;0;Top
0.04;0.2;2.79;0;Top
0.01;0.24;0.6;0;Top
0.01;0.25;0.6;0;Top
0.01;0.28;0.55;0;Top
0.01;0.26;0.57;0;Top
0.01;0.27;0.85;0;Top
0.01;0.25;0.71;0;Top
0.02;0.23;1.5;0;Top
0.01;0.24;0.59;0;Top
0.01;0.25;0.7;0;Top
0.01;0.26;0.58;0;Top
0.05;0.19;3.51;0;Top
0.01;0.26;0.56;0;Top
0.01;0.27;0.58;0;Top
0.01;0.25;0.57;0;Top
0.01;0.31;0.48;0;Top
0.01;0.22;0.68;0;Top
0.01;0.25;0.58;0;Top
0.01;0.27;0.64;0;Top
0.01;0.27;0.63;0;Top
0.02;0.28;1.27;0;Top
0.01;0.29;0.64;0;Top
0.01;0.27;0.78;0;Top
0.02;0.23;1.74;0;Top
0.01;0.26;0.56;0;Top
0.01;0.25;0.63;0;Top
0.01;0.26;0.7;0;Top
0.07;0.18;4.49;0;Top
0.01;0.24;0.6;0;Top
0.01;0.26;0.73;0;Top
0.01;0.29;0.54;0;Top
0.01;0.25;0.56;0;Top
0.01;0.27;0.56;0;Top
0.01;0.23;0.62;0;Top
0.01;0.26;0.57;0;Top
0.01;0.31;0.47;0;Top
0.01;0.24;1.09;0;Top
0.01;0.29;0.5;0;Top
0.01;0.26;0.7;0;Top
0.01;0.24;0.76;0;Top
0.01;0.28;0.58;0;Top
0.01;0.25;0.74;0;Top
0.01;0.27;0.56;0;Top
0.01;0.27;0.54;0;Top
0.01;0.31;0.46;0;Top
0.01;0.28;0.59;0;Top
0.02;0.25;1.34;0;Top
0.01;0.29;0.62;0;Top
0.01;0.24;0.62;0;Top
0.01;0.25;0.63;0;Top
0.01;0.27;0.56;0;Top
0.01;0.27;0.69;0;Top
0.01;0.24;0.77;0;Top
0.05;0.23;2.78;0;Top
0.01;0.29;0.48;0;Top
0.01;0.23;0.93;0;Top
0.01;0.22;0.9;0;Top
0.01;0.24;0.6;0;Top
0.01;0.26;0.61;0;Top
0.01;0.31;0.49;0;Top
0.01;0.37;0.39;0;Top
0.01;0.31;0.46;0;Top
0.01;0.22;0.88;0;Top
0.01;0.26;0.61;0;Top
0.01;0.29;0.54;0;Top
0.01;0.24;0.81;0;Top
0.01;0.26;0.65;0;Top
0.03;0.2;2.4;0;Top
0.01;0.24;0.67;0;Top
0.03;0.24;1.71;0;Top
0.01;0.27;0.68;0;Top
0.01;0.26;0.59;0;Top
0.01;0.31;0.49;0;Top
0.01;0.3;0.48;0;Top
0.01;0.28;0.61;0;Top
0.01;0.23;1.26;0;Top
0.01;0.27;0.62;0;Top
0.01;0.23;0.65;0;Top
0.01;0.3;0.48;0;Top
0.02;0.22;1.84;0;Top
0.01;0.26;0.58;0;Top
0.01;0.25;0.63;0;Top
0.03;0.27;1.58;0;Top
0.01;0.26;0.69;0;Top
0.01;0.25;0.6;0;Top
0.02;0.21;1.44;0;Top
0.02;0.24;1.57;0;Top
0.01;0.22;0.74;0;Top
0.02;0.23;1.53;0;Top
0.01;0.31;0.46;0;Top
0.01;0.26;0.58;0;Top
0.01;0.25;0.65;0;Top
0.01;0.26;0.55;0;Top
0.01;0.26;0.55;0;Top
0.01;0.25;0.85;0;Top
0.01;0.28;0.73;0;Top
0.01;0.22;1.12;0;Top
0.01;0.29;0.57;0;Top
0.01;0.26;0.57;0;Top
0.01;0.25;0.7;0;Top
0.01;0.25;0.58;0;Top
0.01;0.28;0.53;0;Top
0.01;0.22;0.95;0;Top
0.01;0.28;0.7;0;Top
0.01;0.27;0.58;0;Top
0.01;0.27;0.99;0;Top
0.01;0.27;0.6;0;Top
0.01;0.22;0.84;0;Top
0.81;0.24;17.38;0;Top
0.01;0.26;0.71;0;Top
0.01;0.25;0.77;0;Top
0.01;0.22;1.18;0;Top
0.01;0.25;0.9;0;Top
0.01;0.27;0.53;0;Top
0.07;0.17;4.67;0;Top
0.01;0.27;0.78;0;Top
0.01;0.23;0.97;0;Top
0.01;0.29;0.55;0;Top
0.01;0.27;0.55;0;Top
0.01;0.24;0.8;0;Top
0.01;0.23;0.77;0;Top
0.01;0.28;0.51;0;Top
0.01;0.31;0.48;0;Top
0.01;0.24;0.76;0;Top
0.01;0.26;0.55;0;Top
0.04;0.27;2;0;Top
0.01;0.22;0.91;0;Top
0.01;0.25;0.57;0;Top
0.01;0.32;0.83;0;Top
0.01;0.27;0.6;0;Top
0.04;0.22;2.67;0;Top
0.02;0.26;1.17;0;Top
0.01;0.23;0.91;0;Top
0.05;0.26;2.51;0;Top
0.01;0.28;0.78;0;Top
0.01;0.27;0.56;0;Top
0.01;0.28;0.52;0;Top
0.01;0.28;0.52;0;Top
0.04;0.26;2.19;0;Top
0.01;0.31;0.84;0;Top
0.01;0.27;0.54;0;Top
0.01;0.27;0.65;0;Top
0.01;0.24;0.77;0;Top
0.01;0.27;0.59;0;Top
0.01;0.22;1.26;0;Top
0.01;0.26;0.68;0;Top
0.01;0.26;0.65;0;Top
0.01;0.27;0.75;0;Top
0.01;0.22;0.87;0;Top
0.01;0.31;0.53;0;Top
0.01;0.23;0.68;0;Top
0.02;0.25;1.52;0;Top
0.01;0.25;0.59;0;Top
0.01;0.3;0.48;0;Top
0.01;0.25;0.77;0;Top
0.01;0.28;0.73;0;Top
0.01;0.23;0.83;0;Top
0.14;0.25;5.05;0;Top
0.01;0.29;0.54;0;Top
0.01;0.26;0.67;0;Top
0.01;0.24;0.7;0;Top
0.08;0.22;3.9;0;Top
0.01;0.26;1.01;0;Top
0.01;0.24;0.85;0;Top
0.01;0.3;0.5;0;Top
0.01;0.25;0.74;0;Top
0.01;0.23;0.87;0;Top
0.01;0.24;0.75;0;Top
0.01;0.35;0.56;0;Top
0.04;0.26;2.26;0;Top
0.01;0.28;0.56;0;Top
0.01;0.26;0.62;0;Top
0.01;0.24;0.84;0;Top
0.01;0.25;0.64;0;Top
0.01;0.25;0.57;0;Top
0.02;0.24;1.28;0;Top
0.05;0.18;3.42;0;Top
0.01;0.24;0.66;0;Top
0.02;0.23;1.74;0;Top
0.01;0.28;0.52;0;Top
0.01;0.23;0.94;0;Top
0.01;0.27;0.58;0;Top
0.01;0.28;0.52;0;Top
0.01;0.24;0.68;0;Top
0.01;0.23;0.77;0;Top
0.01;0.32;0.46;0;Top
0.01;0.28;0.76;0;Top
0.01;0.24;0.61;0;Top
0.06;0.22;3.19;0;Top
0.01;0.24;0.84;0;Top
0.02;0.2;2;0;Top
0.01;0.32;0.78;0;Top
0.01;0.23;0.71;0;Top
0.01;0.28;0.51;0;Top
0.01;0.28;0.54;0;Top
0.02;0.27;1.18;0;Top
0.01;0.24;0.61;0;Top
0.01;0.29;0.62;0;Top
0.01;0.23;0.79;0;Top
0.01;0.26;0.58;0;Top
0.01;0.25;0.59;0;Top
0.01;0.24;0.65;0;Top
0.01;0.26;0.54;0;Top
0.01;0.25;0.57;0;Top
0.01;0.26;0.76;0;Top
0.01;0.28;0.56;0;Top
0.01;0.24;0.7;0;Top
0.01;0.26;0.56;0;Top
0.01;0.26;0.62;0;Top
0.01;0.25;0.77;0;Top
0.01;0.28;0.74;0;Top
0.01;0.26;0.67;0;Top
0.01;0.25;0.59;0;Top
0.01;0.24;1.03;0;Top
0.01;0.35;0.41;0;Top
0.01;0.28;0.57;0;Top
0.01;0.28;0.58;0;Top
0.01;0.26;0.82;0;Top
0.01;0.26;0.73;0;Top
0.01;0.25;0.76;0;Top
0.02;0.24;1.22;0;Top
0.01;0.25;1.07;0;Top
0.01;0.28;0.5;0;Top
0.01;0.29;0.58;0;Top
0.01;0.3;0.48;0;Top
0.01;0.24;0.61;0;Top
0.06;0.19;3.66;0;Top
0.01;0.27;0.57;0;Top
0.01;0.25;1.08;0;Top
0.01;0.28;0.62;0;Top
0.01;0.25;0.56;0;Top
0.01;0.24;0.69;0;Top
0.01;0.25;0.59;0;Top
0.01;0.3;0.49;0;Top
0.01;0.31;0.48;0;Top
0.01;0.29;0.91;0;Top
0.05;0.18;3.65;0;Top
0.01;0.21;1.17;0;Top
0.01;0.29;0.77;0;Top
0.01;0.28;0.52;0;Top
0.01;0.26;0.77;0;Top
0.01;0.26;0.55;0;Top
0.01;0.24;1.03;0;Top
0.07;0.28;2.98;0;Top
0.01;0.27;0.55;0;Top
0.01;0.31;0.64;0;Top
0.01;0.27;0.84;0;Top
0.01;0.27;0.58;0;Top
0.01;0.3;0.61;0;Top
0.02;0.22;1.5;0;Top
0.01;0.29;0.49;0;Top
0.01;0.27;0.57;0;Top
0.02;0.27;1.31;0;Top
0.01;0.3;0.5;0;Top
0.01;0.23;1.15;0;Top
0.01;0.27;0.62;0;Top
0.01;0.31;0.48;0;Top
0.01;0.26;0.64;0;Top
0.02;0.24;1.36;0;Top
0.01;0.29;0.66;0;Top
0.01;0.26;0.67;0;Top
0.03;0.26;1.74;0;Top
0.01;0.26;0.63;0;Top
0.01;0.27;0.52;0;Top
0.01;0.27;0.79;0;Top
0.01;0.24;0.79;0;Top
0.01;0.26;0.56;0;Top
0.01;0.23;0.87;0;Top
0.01;0.37;0.49;0;Top
0.01;0.25;0.82;0;Top
0.01;0.24;1.05;0;Top
0.01;0.25;1.09;0;Top
0.01;0.25;0.56;0;Top
0.01;0.23;0.92;0;Top
0.01;0.25;0.63;0;Top
0.01;0.31;0.46;0;Top
0.01;0.32;0.73;0;Top
0.01;0.28;0.54;0;Top
0.01;0.24;0.93;0;Top
0.01;0.28;0.75;0;Top
0.02;0.25;1.25;0;Top
0.01;0.28;0.58;0;Top
0.01;0.24;0.6;0;Top
0.01;0.24;1.07;0;Top
0.01;0.25;0.81;0;Top
0.02;0.25;1.37;0;Top
0.01;0.27;0.99;0;Top
0.01;0.26;0.86;0;Top
0.05;0.22;2.97;0;Top
0.01;0.3;0.49;0;Top
0.01;0.23;0.86;0;Top
0.01;0.26;0.7;0;Top
0.01;0.23;1.05;0;Top
0.01;0.26;0.55;0;Top
0.01;0.25;0.58;0;Top
0.01;0.24;0.74;0;Top
0.01;0.27;0.59;0;Top
0.01;0.3;0.56;0;Top
0.02;0.22;1.45;0;Top
0.01;0.27;0.93;0;Top
0.01;0.24;1.14;0;Top
0.01;0.28;0.51;0;Top
0.01;0.24;0.91;0;Top
0.01;0.28;0.57;0;Top
0.01;0.28;0.5;0;Top
0.01;0.24;0.69;0;Top
0.04;0.25;2.22;0;Top
0.01;0.27;0.54;0;Top
0.01;0.25;0.62;0;Top
0.01;0.24;0.94;0;Top
0.03;0.25;1.75;0;Top
0.01;0.25;0.68;0;Top
0.01;0.26;0.66;0;Top
0.01;0.55;0.32;0;Top
0.01;0.24;1;0;Top
0.01;0.24;1.16;0;Top
0.01;0.3;0.53;0;Top
0.02;0.31;1.02;0;Top
0.01;0.3;0.52;0;Top
0.01;0.3;0.48;0;Top
0.01;0.27;0.52;0;Top
0.01;0.24;0.58;0;Top
0.01;0.27;0.6;0;Top
0.02;0.25;1.54;0;Top
0.01;0.26;0.6;0;Top
0.01;0.26;0.59;0;Top
0.01;0.25;0.87;0;Top
0.01;0.26;0.69;0;Top
0.01;0.26;0.7;0;Top
0.01;0.25;0.66;0;Top
0.07;0.19;4.3;0;Top
0.01;0.26;0.58;0;Top
0.01;0.27;0.54;0;Top
0.02;0.27;1.21;0;Top
0.07;0.2;4.22;0;Top
0.01;0.26;0.7;0;Top
0.01;0.25;0.65;0;Top
0.01;0.38;0.45;0;Top
0.01;0.23;0.93;0;Top
0.01;0.27;0.67;0;Top
0.43;0.24;11.41;0;Top
0.01;0.27;0.53;0;Top
0.03;0.21;2;0;Top
0.01;0.46;0.34;0;Top
0.01;0.24;0.91;0;Top
0.01;0.28;0.53;0;Top
0.01;0.24;0.86;0;Top
0.01;0.26;0.59;0;Top
0.01;0.24;1.07;0;Top
0.01;0.3;0.75;0;Top
0.01;0.27;0.61;0;Top
0.01;0.26;0.58;0;Top
0.01;0.27;0.66;0;Top
0.01;0.3;0.71;0;Top
0.01;0.24;0.85;0;Top
0.03;0.22;1.98;0;Top
0.01;0.24;0.94;0;Top
0.03;0.18;2.66;0;Top
0.02;0.28;1.34;0;Top
0.01;0.28;0.5;0;Top
0.01;0.27;0.77;0;Top
0.01;0.28;0.76;0;Top
0.01;0.28;0.55;0;Top
0.01;0.31;0.58;0;Top
0.01;0.23;1.27;0;Top
0.01;0.24;0.95;0;Top
0.01;0.28;0.59;0;Top
0.09;0.34;2.91;0;Top
0.01;0.27;0.66;0;Top
0.01;0.27;0.65;0;Top
0.01;0.26;0.58;0;Top
0.01;0.25;0.61;0;Top
0.01;0.28;0.52;0;Top
0.01;0.39;0.68;0;Top
0.01;0.24;1.13;0;Top
0.01;0.27;0.66;0;Top
0.02;0.33;1.02;0;Top
0.02;0.26;1.26;0;Top
0.01;0.26;0.66;0;Top
0.01;0.56;0.47;0;Top
0.01;0.31;0.51;0;Top
0.13;0.21;5.73;0;Top
0.03;0.2;2.19;0;Top
0.04;0.25;2.46;0;Top
0.02;0.28;1.14;0;Top
0.01;0.29;0.5;0;Top
0.01;0.26;0.66;0;Top
0.03;0.31;1.41;0;Top
0.01;0.25;0.82;0;Top
0.01;0.26;0.6;0;Top
0.01;0.28;0.92;0;Top
0.01;0.26;0.67;0;Top
0.01;0.29;0.65;0;Top
0.01;0.26;0.68;0;Top
0.01;0.28;0.66;0;Top
0.01;0.26;0.58;0;Top
0.01;0.33;0.46;0;Top
0.01;0.27;0.84;0;Top
0.04;0.35;1.7;0;Top
0.01;0.37;0.42;0;Top
0.01;0.26;0.68;0;Top
0.01;0.25;0.75;0;Top
0.01;0.31;0.51;0;Top
0.01;0.35;0.75;0;Top
0.01;0.28;0.63;0;Top
0.01;0.29;0.56;0;Top
0.01;0.26;0.7;0;Top
0.02;0.21;1.51;0;Top
0.01;0.39;0.4;0;Top
0.01;0.3;0.63;0;Top
0.01;0.26;0.66;0;Top
0.01;0.28;0.61;0;Top
0.01;0.31;0.46;0;Top
0.02;0.33;1.17;0;Top
0.01;0.26;0.9;0;Top
0.01;0.28;0.52;0;Top
0.01;0.34;0.59;0;Top
0.01;0.29;0.55;0;Top
0.01;0.28;0.58;0;Top
0.01;0.29;0.49;0;Top
0.01;0.32;0.47;0;Top
0.01;0.37;0.53;0;Top
0.01;0.24;1.11;0;Top
0.01;0.28;0.73;0;Top
0.02;0.2;1.71;0;Top
0.01;0.27;0.54;0;Top
0.01;0.3;0.47;0;Top
0.01;0.28;0.64;0;Top
0.07;0.19;4.27;0;Top
0.01;0.29;0.57;0;Top
0.17;0.29;5.01;0;Top
0.01;0.25;0.94;0;Top
0.01;0.26;0.76;0;Top
0.03;0.24;1.87;0;Top
0.01;0.29;0.96;0;Top
0.01;0.26;0.58;0;Top
0.01;0.27;0.65;0;Top
0.01;0.29;0.82;0;Top
0.01;0.33;0.74;0;Top
0.02;0.23;1.62;0;Top
0.01;0.27;0.66;0;Top
0.01;0.25;1.1;0;Top
0.01;0.25;0.76;0;Top
0.01;0.25;0.72;0;Top
0.01;0.29;0.61;0;Top
0.01;0.49;0.44;0;Top
0.01;0.27;0.72;0;Top
0.02;0.2;1.5;0;Top
0.01;0.28;0.62;0;Top
0.01;0.27;0.84;0;Top
0.01;0.25;1.04;0;Top
0.01;0.27;0.56;0;Top
0.01;0.25;0.71;0;Top
0.01;0.24;0.78;0;Top
0.11;0.31;3.69;0;Top
0.07;0.22;3.62;0;Top
0.01;0.25;1.03;0;Top
0.01;0.26;0.87;0;Top
0.01;0.25;0.78;0;Top
0.01;0.27;0.65;0;Top
0.01;0.33;0.48;0;Top
0.01;0.23;1.03;0;Top
0.01;0.3;0.48;0;Top
0.09;0.19;4.97;0;Top
0.01;0.27;0.59;0;Top
0.01;0.3;0.51;0;Top
0.03;0.21;2.22;0;Top
0.01;0.26;0.78;0;Top
0.01;0.26;0.69;0;Top
0.01;0.36;0.41;0;Top
0.05;0.2;3.52;0;Top
0.01;0.3;0.55;0;Top
0.01;0.26;1.1;0;Top
0.01;0.28;0.55;0;Top
0.01;0.27;0.58;0;Top
0.01;0.27;0.64;0;Top
0.01;0.3;0.5;0;Top
0.01;0.24;1.1;0;Top
0.01;0.31;0.46;0;Top
0.01;0.25;0.98;0;Top
0.01;0.3;0.56;0;Top
0.01;0.29;0.58;0;Top
0.01;0.25;1.05;0;Top
0.49;0.35;8.42;0;Top
0.01;0.3;0.84;0;Top
0.01;0.24;0.86;0;Top
0.01;0.38;0.59;0;Top
0.01;0.25;0.83;0;Top
0.01;0.28;0.54;0;Top
0.01;0.29;0.81;0;Top
0.01;0.29;0.59;0;Top
0.01;0.37;0.52;0;Top
0.05;0.27;2.5;0;Top
0.01;0.29;0.93;0;Top
0.18;0.3;5.07;0;Top
0.01;0.24;0.72;0;Top
0.01;0.24;0.97;0;Top
